Должность,Компания,Адрес,Ссылка 
['Python разработчик системы A/B-экспериментов', 'ООО\xa0HeadHunter::Backend', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73232547?from=vacancy_search_list&query=python']
['DevOps инженер', 'Fashion Cute LLC', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73199408?from=vacancy_search_list&query=python']
['Go разработчик со знаниями Python', 'ТОО\xa0Freedom Drive', 'Алматы', 'https://prokopyevsk.hh.ru/vacancy/73160773?from=vacancy_search_list&query=python']
['Python Full Stack Web Developer', 'Gaijin Games', 'Армения', 'https://prokopyevsk.hh.ru/vacancy/73253957?from=vacancy_search_list&query=python']
['Backend разработчик (удаленно)', 'Good Tools Lab', 'Алматы', 'https://prokopyevsk.hh.ru/vacancy/73164997?from=vacancy_search_list&query=python']
['Middle Python developer (Казань)', 'ООО\xa0Колл-Тулз', 'Казань', 'https://prokopyevsk.hh.ru/vacancy/70809271?from=vacancy_search_list&query=python']
['Python-developer в AntiDDoS', 'WILDBERRIES', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73041312?from=vacancy_search_list&query=python']
['Системный администратор Linux (Казань)', 'ООО\xa0Колл-Тулз', 'Казань', 'https://prokopyevsk.hh.ru/vacancy/72308150?from=vacancy_search_list&query=python']
['Аналитик данных', 'ООО\xa0ДельтаЛизинг', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73227412?from=vacancy_search_list&query=python']
['Дата-инженер / Data Engineer', '«Procter & Gamble»', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71236005?from=vacancy_search_list&query=python']
['BI Developer', 'WILDBERRIES', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/53286310?from=vacancy_search_list&query=python']
['Teacher of Python Programming', 'IDU University', 'Ташкент', 'https://prokopyevsk.hh.ru/vacancy/73061241?from=vacancy_search_list&query=python']
['Системный администратор Linux (релокация в Сочи)', 'ООО\xa0Колл-Тулз', 'Сочи', 'https://prokopyevsk.hh.ru/vacancy/73072587?from=vacancy_search_list&query=python']
